iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUS,Oceania,Australia,3/24/2020,2044,362,227.429,8,1,0.429,79.261,14.037,8.819,0.31,0.039,0.017,2.16,,,,,,,,,156668,13030,6.075,0.505,15087,0.585,0.0151,66.3,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/25/2020,2364,320,256.571,8,0,0.286,91.67,12.409,9.949,0.31,0,0.011,2.02,,,,,,,,,168436,11768,6.532,0.456,15766,0.611,0.0163,61.4,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/26/2020,2810,446,304.143,13,5,1,108.964,17.295,11.794,0.504,0.194,0.039,1.89,,,,,,,,,179939,11503,6.978,0.446,10943,0.424,0.0278,36,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/27/2020,3143,333,336,13,0,0.857,121.877,12.913,13.029,0.504,0,0.033,1.71,,,,,,,,,192808,12869,7.477,0.499,11718,0.454,0.0287,34.9,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/28/2020,3640,497,367,14,1,1,141.15,19.272,14.231,0.543,0.039,0.039,1.57,,,,,,,,,210069,17261,8.146,0.669,12509,0.485,0.0293,34.1,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/29/2020,3984,344,347.857,16,2,1.286,154.489,13.339,13.489,0.62,0.078,0.05,1.42,,,,,,,,,223514,13445,8.667,0.521,12989,0.504,0.0268,37.3,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-892.4,-2.3,2.98,-34.60495156
AUS,Oceania,Australia,3/30/2020,4361,377,382.714,17,1,1.429,169.108,14.619,14.841,0.659,0.039,0.055,1.31,,,,,,,,,232947,9433,9.033,0.366,12758,0.495,0.03,33.3,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,3/31/2020,4559,198,359.286,18,1,1.429,176.786,7.678,13.932,0.698,0.039,0.055,1.17,82,3.18,426,16.519,,,,,244929,11982,9.498,0.465,12609,0.489,0.0285,35.1,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,4/1/2020,4862,303,356.857,20,2,1.714,188.536,11.75,13.838,0.776,0.078,0.066,1.08,86,3.335,441,17.101,,,,,256818,11889,9.959,0.461,12626,0.49,0.0283,35.4,tests performed,,,,,,,,,,,,,,71.3,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,4/2/2020,5116,254,329.429,24,4,1.571,198.385,9.849,12.774,0.931,0.155,0.061,0.98,92,3.568,415,16.093,,,,,267098,10280,10.357,0.399,12451,0.483,0.0265,37.8,tests performed,,,,,,,,,,,,,,73.15,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,4/3/2020,5330,214,312.429,28,4,2.143,206.684,8.298,12.115,1.086,0.155,0.083,0.86,93,3.606,457,17.721,,,,,277847,10749,10.774,0.417,12148,0.471,0.0257,38.9,tests performed,,,,,,,,,,,,,,73.15,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,4/4/2020,5550,220,272.857,30,2,2.286,215.215,8.531,10.581,1.163,0.078,0.089,0.77,95,3.684,490,19.001,,,,,287457,9610,11.147,0.373,11055,0.429,0.0247,40.5,tests performed,,,,,,,,,,,,,,73.15,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,4/5/2020,5687,137,243.286,35,5,2.714,220.527,5.313,9.434,1.357,0.194,0.105,0.7,96,3.723,457,17.721,,,,,297240,9783,11.526,0.379,10532,0.408,0.0231,43.3,tests performed,,,,,,,,,,,,,,73.15,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,-716.1,-1.71,5.79,-27.76849598
AUS,Oceania,Australia,4/6/2020,5797,110,205.143,40,5,3.286,224.793,4.266,7.955,1.551,0.194,0.127,0.66,93,3.606,305,11.827,,,,,302759,5519,11.74,0.214,9973,0.387,0.0206,48.6,tests performed,,,,,,,,,,,,,,73.15,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
